"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170801","화","남","10대","서울특별시","강남구","개포동","치킨","5"
"20170801","화","남","10대","서울특별시","강남구","도곡동","치킨","5"
"20170801","화","남","20대","서울특별시","강남구","대치동","치킨","6"
"20170801","화","남","20대","서울특별시","강남구","역삼동","치킨","32"
"20170801","화","남","30대","서울특별시","강남구","개포동","치킨","5"
"20170801","화","남","30대","서울특별시","강남구","도곡동","치킨","5"
"20170801","화","남","40대","서울특별시","강남구","역삼동","치킨","25"
"20170801","화","남","30대","서울특별시","강남구","대치동","치킨","5"
"20170801","화","남","40대","서울특별시","강남구","일원동","치킨","5"
"20170801","화","남","50대","서울특별시","강남구","역삼동","치킨","10"
"20170801","화","여","10대","서울특별시","강남구","대치동","치킨","5"
"20170801","화","남","10대","서울특별시","강남구","삼성동","치킨","20"
"20170801","화","여","10대","서울특별시","강남구","역삼동","치킨","5"
"20170801","화","여","20대","서울특별시","강남구","논현동","치킨","9"
"20170801","화","여","20대","서울특별시","강남구","대치동","치킨","9"
"20170801","화","여","20대","서울특별시","강남구","삼성동","치킨","20"
"20170801","화","여","20대","서울특별시","강남구","신사동","치킨","5"
"20170801","화","남","20대","서울특별시","강남구","수서동","치킨","5"
"20170801","화","남","30대","서울특별시","강남구","신사동","치킨","5"
"20170801","화","여","20대","서울특별시","강남구","역삼동","치킨","13"
"20170801","화","여","30대","서울특별시","강남구","개포동","치킨","5"
"20170801","화","남","30대","서울특별시","강남구","역삼동","치킨","44"
"20170801","화","남","20대","서울특별시","강남구","논현동","치킨","7"
"20170801","화","남","40대","서울특별시","강남구","압구정동","치킨","5"
"20170801","화","남","60대이상","서울특별시","강남구","역삼동","치킨","6"
"20170801","화","여","30대","서울특별시","강남구","논현동","치킨","15"
"20170801","화","여","30대","서울특별시","강남구","도곡동","치킨","5"
"20170801","화","남","50대","서울특별시","강남구","삼성동","치킨","10"
"20170801","화","여","30대","서울특별시","강남구","역삼동","치킨","47"
"20170801","화","여","30대","서울특별시","강남구","청담동","치킨","5"
