관측일자,지점명,평균기온,최저기온,최대기온,평균습도,최저습도,최고습도,평균풍속,최대풍속,강수량
20180101,남산,-0.5,-3.599999905,3.200000048,29.20000076,22.5,46,1.299999952,3.200000048,0
20180101,동대문,-0.100000001,-4.099999905,3.799999952,44.5,27.79999924,61.09999847,1.5,4.800000191,0
20180101,성북,-0.300000012,-3.5,3.5,35.59999847,19.29999924,54.90000153,0.899999976,4.199999809,0
20180101,도봉,-1.600000024,-6.300000191,3.900000095,50,25.89999962,73.80000305,0.5,2.799999952,0
20180101,마포,-1,-4.800000191,3.799999952,52,28,73.90000153,0.800000012,3.599999905,0
20180101,구로,0,-3.299999952,3.599999905,42.90000153,19.70000076,60,1.5,5.199999809,0
20180101,강남,0.200000003,-2.799999952,3.299999952,42,24.60000038,63.79999924,1.100000024,4.300000191,0
20180101,서대문,-1,-4.400000095,3.200000048,43.40000153,24.79999924,59.5,0.800000012,4.800000191,0
20180101,금천,0.400000006,-3.200000048,4.300000191,38,14.5,54.29999924,1,4.900000095,0
20180101,양천,0,-3.400000095,3.700000048,47.59999847,23.79999924,70.59999847,0.800000012,3.200000048,0
20180101,노원,-0.699999988,-5,4,42.59999847,25.29999924,61.90000153,0.600000024,3.200000048,0
20180101,광진,0.5,-3.200000048,4,43.20000076,25.20000076,56.79999924,1.100000024,4,0
20180101,강북,0,-3.700000048,4.099999905,44.09999847,28.5,64.09999847,0.699999988,4.300000191,0
20180101,송파,0.100000001,-4.5,4.5,44.29999924,22.60000038,67.19999695,0.800000012,3.400000095,0
20180101,용산,0.5,-2.5,3.900000095,41.09999847,22.89999962,56.5,1.100000024,4.699999809,0
20180101,성동,0.200000003,-3.099999905,4.400000095,43.79999924,24.20000076,70.09999847,1.5,4.599999905,0
20180101,중랑,0.100000001,-3.200000048,3.400000095,44.09999847,28.70000076,57.40000153,1,4.300000191,0
20180101,중구,-0.899999976,-4.099999905,2.799999952,41.40000153,20.60000038,56.20000076,1.399999976,5,0
20180101,은평,-1,-4.599999905,2.900000095,44.90000153,24.10000038,62.79999924,1.100000024,4.400000095,0
